time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2019/12/16,11915.61,11975.73,11915.61,11939.77,11827.67,11738.75,11384.42,11125.98,11886.95,11637.38,11387.81,-3154,-1608,41590,0.8724,0.8088,0.9997,110.95,83.31,27.64,1448.49,1413.85,1287.69,1427,13.1,12097.01,0.001009413
2019/12/17,11939.62,12097.01,11939.62,12097.01,11891.22,11789.58,11405.2,11140.73,11979.61,11659.41,11339.22,-3153,-1583,41698,0.9149,0.8442,1.0565,129.65,92.58,37.07,1565.73,1516.02,1334.48,1426,-1.86,12122.45,0.013169433
2019/12/18,12061.1,12125.9,12059.92,12122.45,11958.26,11844.63,11427.73,11156.46,12061.91,11683.98,11306.04,-3162,-1580,41751,0.9412,0.8765,1.0706,146.82,103.42,43.39,1506.3,1559.29,1375.62,1427,1.46,12018.9,0.002102999
2019/12/19,12082.98,12111.77,12008.16,12018.9,11990.66,11882.96,11448.31,11171.32,12106.99,11707.01,11307.03,-3172,-1574,41681,0.892,0.8817,0.9127,153.15,113.37,39.78,1377.59,1526,1388.25,1431,3.42,11959.08,-0.008542003
2019/12/20,12001.56,12028.22,11937.45,11959.08,11987.63,11900.89,11465.79,11184.71,12135.55,11726.62,11317.69,-3177,-1555,41636,0.8208,0.8614,0.7396,150.9,120.87,30.03,1705.95,1520.81,1446.27,1434,3.62,12022.23,-0.004977161
2019/12/23,11969.14,12022.23,11960.21,12022.23,11989.57,11917.72,11483.09,11198.08,12170.52,11749.65,11328.79,-3177,-1559,41654,0.8119,0.8449,0.7459,150.27,126.75,23.52,1143.11,1459.74,1436.79,1434,-2077,11976.38,0.005280507
2019/12/24,12023.79,12027.6,11976.38,11976.38,11993.39,11932.87,11500.08,11211.35,12193.71,11769.63,11345.56,-3184,-1560,41661,0.7357,0.8085,0.5902,146.67,130.74,15.93,1041.33,1354.86,1435.44,1434,-50,12008.13,-0.003813768
2019/12/25,11978.94,12032.37,11973.95,12008.13,11995.04,11944.77,11516.41,11224.36,12220.02,11787.67,11355.31,-3181,-1538,41667,0.6394,0.7521,0.414,143.49,133.29,10.2,912.23,1236.04,1397.67,1438,4.19,12001.01,0.002651051
2019/12/26,12018.38,12030.66,11982.64,12001.01,11999.42,11956.3,11532.54,11237.32,12241.3,11806.86,11372.42,-3190,-1544,41668,0.5616,0.6886,0.3076,139.22,134.47,4.74,1007.94,1162.11,1344.05,1444,6.16,12091.59,-0.000592932
2019/12/27,12032.72,12093.02,12032.72,12091.59,12020.45,11975.61,11549.91,11250.96,12262.63,11836.96,11411.29,-3193,-1524,41748,0.6471,0.6748,0.5917,140.14,135.61,4.53,1090.6,1039.04,1279.93,1444,-7301,12053.37,0.007547698
2019/12/30,12094.81,12114.89,12046.22,12053.37,12039.41,11994.1,11567.2,11264.62,12270.94,11864.49,11458.04,-3197,-1520,41734,0.6364,0.662,0.5853,138.44,136.17,2.27,1255.44,1061.51,1260.62,1449,5.72,11997.14,-0.003160875
2019/12/31,12019.19,12047.75,11997.14,11997.14,12031.37,11997.96,11581.9,11277.02,12267.75,11887.77,11507.78,-3196,-1522,41639,0.5364,0.6201,0.369,130.98,135.13,-4.16,1180.37,1089.31,1222.09,1454,5.06,12100.48,-0.004665085
2020/1/2,12026.5,12110.74,12026.23,12100.48,12042.91,12010.33,11597.77,11290.06,12265.81,11917.27,11568.72,-3196,-1485,41605,0.6639,0.6347,0.7222,129.59,134.03,-4.43,1427.15,1192.3,1214.17,1456,1.73,12110.43,0.00861372
2020/1/3,12167.44,12197.64,12023.6,12110.43,12070.2,12031.14,11615.05,11303.86,12267.82,11943.06,11618.3,-3195,-1495,41604,0.6535,0.641,0.6785,129.11,133.04,-3.93,1937.6,1378.23,1270.17,1446,-9.87,11953.36,0.000822281
2020/1/6,12035.71,12040.08,11953.36,11953.36,12045.34,12024.68,11627.53,11315.3,12246.73,11960.24,11673.75,-3212,-1498,41506,0.4357,0.5725,0.1619,116.45,129.73,-13.27,1443.04,1448.72,1243.88,1455,8.44,11880.32,-0.012969812
2020/1/7,11961.97,11986.03,11822.4,11880.32,12001.12,12004.32,11636.87,11325.17,12226.04,11971.22,11716.4,-3225,-1517,41408,0.3419,0.4956,0.0344,98.61,123.5,-24.9,1664.21,1530.47,1295.99,1446,-8.66,11817.1,-0.006110416
2020/1/8,11818.76,11899.67,11777.45,11817.1,11943.5,11972.3,11643.15,11333.49,12194.57,11980.68,11766.8,-3221,-1525,41396,0.2594,0.4169,-0.0556,78.36,114.47,-36.11,1506.79,1595.76,1342.54,1437,-9.02,11970.63,-0.005321405
2020/1/9,11889.46,11992.55,11889.46,11970.63,11940.84,11965.62,11652.74,11343.44,12165.55,11994.18,11822.81,-3206,-1525,41450,0.3262,0.3867,0.2052,71.81,105.94,-34.13,1342.6,1578.85,1385.57,1437,5079,12024.65,0.012992189
2020/1/10,12009.27,12038.21,11959.06,12024.65,11963.16,11973.29,11664.38,11354.42,12159.22,12003.59,11847.96,-3205,-1545,41519,0.4135,0.3956,0.4494,70.32,98.82,-28.5,1289.36,1449.2,1413.71,1429,-8.49,12113.42,0.004512712
2020/1/13,12069.61,12113.42,12037.24,12113.42,12003.25,11993.31,11678.12,11366.47,12171.42,12012.87,11854.32,-3195,-1538,41626,0.5422,0.4445,0.7377,74.95,94.04,-19.1,1434.89,1447.57,1448.14,1425,-4.32,12179.81,0.007382335
2020/1/14,12161.73,12186.62,12140.27,12179.81,12057.87,12024.91,11694.15,11379.7,12195.36,12024.87,11854.38,-3189,-1532,41667,0.6807,0.5232,0.9956,83.88,92.01,-8.13,1541.64,1423.06,1476.76,1419,-5.2,12091.88,0.005480698
2020/1/15,12169.92,12169.92,12048.01,12091.88,12078.56,12042.19,11708.11,11391.94,12194.69,12024.62,11854.55,-3190,-1565,41578,0.7032,0.5832,0.9432,84.25,90.46,-6.21,1525.59,1426.82,1511.29,1425,5.55,12066.93,-0.007219324
2020/1/16,12006.08,12075.54,12006.08,12066.93,12065.26,12041.55,11718.95,11402.63,12187.18,12021.84,11856.5,-3187,-1558,41532,0.7046,0.6237,0.8665,79.86,88.34,-8.48,1412.03,1440.7,1509.78,1429,4.49,12090.29,-0.002063368
2020/1/17,12080.72,12117.55,12055.91,12090.29,12072.21,12049.65,11730.98,11413.92,12193.4,12025.41,11857.42,-3190,-1559,41511,0.7246,0.6573,0.8592,78.27,86.32,-8.05,1341.95,1451.22,1450.21,1425,-4.73,12118.71,0.001935869
2020/1/20,12107.56,12151.42,12101.55,12118.71,12088.08,12062.41,11743.73,11425.59,12203.18,12033.39,11863.61,-3192,-1547,41566,0.7611,0.6919,0.8994,78.86,84.83,-5.97,1161.99,1396.64,1422.11,1406,-19.2,11421.74,0.002350647
2020/1/30,11933.23,11933.23,11418.22,11421.74,11950.92,11992.26,11741.53,11429.74,12319.63,12003.37,11687.11,-3221,-1605,41385,0.5089,0.6309,0.2649,32.64,74.39,-41.75,2776.31,1643.58,1533.32,1365,-40.3,11495.1,-0.057511897
2020/1/31,11494.03,11594.21,11436.95,11495.1,11802.3,11903.68,11733.78,11430.98,12365.6,11979.3,11593.01,-3232,-1658,41213,0.3726,0.5448,0.0282,-7.41,58.03,-65.44,1766.94,1691.85,1559.33,1352,-12.8,11354.92,0.006422839
2020/2/3,11365.9,11365.9,11138.03,11354.92,11636.93,11795.05,11719.76,11428.92,12418.62,11946.64,11474.67,-3227,-1672,41225,0.3174,0.469,0.0141,-54.8,35.47,-90.27,1844.92,1778.42,1609.56,1324,-28.7,11555.92,-0.012194761
2020/2/4,11399.46,11581.36,11393.03,11555.92,11585.44,11738.21,11711.98,11429.81,12425.11,11924.39,11423.67,-3225,-1700,41185,0.3444,0.4275,0.1783,-73.91,13.59,-87.5,1617.28,1833.49,1642.36,1321,-2.74,11573.62,0.017701578
2020/2/5,11601.55,11620.42,11512.71,11573.62,11582.65,11708.91,11707.56,11432.24,12415.27,11898.49,11381.71,-3226,-1743,41179,0.3703,0.4084,0.2941,-84.17,-5.96,-78.21,1581.56,1917.4,1657.02,1316,-5,11749.68,0.001531682
2020/2/6,11605.11,11749.68,11605.11,11749.68,11614.23,11703.18,11706.57,11436.29,12398.83,11883.31,11367.78,-3234,-1743,41232,0.4481,0.4216,0.5009,-79.8,-20.73,-59.07,1446.79,1651.5,1647.54,1324,8.26,11612.81,0.015212181
2020/2/7,11712.71,11712.71,11592.09,11612.81,11628.68,11694.89,11704.96,11439.95,12389.76,11864.09,11338.42,-3254,-1770,41144,0.4549,0.4327,0.4992,-81.93,-32.97,-48.96,1298.84,1557.88,1624.86,1320,-4.15,11574.07,-0.011648828
2020/2/10,11514.72,11598.03,11423.34,11574.07,11594.97,11664.46,11699.14,11441.4,12366.17,11837.77,11309.37,-3266,-1760,41098,0.4467,0.4374,0.4653,-89.86,-44.35,-45.51,1320.03,1452.9,1615.66,1319,-6813,11664.04,-0.003335971
2020/2/11,11614.25,11678.58,11614.25,11664.04,11610.9,11660.52,11697.3,11444.73,12333.51,11815.45,11297.39,-3259,-1747,41091,0.5183,0.4643,0.6262,-86.05,-52.69,-33.36,1231.95,1375.83,1604.66,1323,3.3,11774.19,0.007773411
2020/2/12,11693.4,11801.52,11693.4,11774.19,11654.15,11675.09,11698.72,11449.62,12320.88,11806.49,11292.1,-3254,-1749,41154,0.6651,0.5313,0.9328,-73.65,-56.88,-16.77,1504.42,1360.41,1638.9,1321,-1.6,11791.78,0.009443555
2020/2/13,11813.5,11854.98,11784.94,11791.78,11706.53,11699.85,11702.41,11455.6,12315.36,11802.06,11288.77,-3259,-1773,41173,0.7474,0.6033,1.0355,-59.51,-57.41,-2.11,1410.66,1353.18,1502.34,1320,-9080,11815.7,0.001493946
2020/2/14,11806.52,11840.79,11788.87,11815.7,11742.01,11720.42,11706.03,11461.5,12315.28,11801.99,11288.71,-3262,-1762,41190,0.8032,0.6699,1.0698,-47,-55.33,8.32,1130.97,1319.61,1438.74,1326,6.13,11763.51,0.002028532
2020/2/17,11770.3,11775.56,11724.82,11763.51,11747.52,11727.35,11707.75,11466.41,12299.23,11791.64,11284.05,-3276,-1754,41148,0.7982,0.7127,0.9692,-41.33,-52.53,11.2,1160.3,1287.66,1370.28,1332,6.11,11648.98,-0.004417004
2020/2/18,11700.91,11717.1,11642.95,11648.98,11724.18,11718.28,11706.76,11469.9,12272.3,11772.86,11273.41,-3280,-1765,40936,0.7064,0.7106,0.6979,-43.78,-50.78,7,1413.07,1323.89,1349.86,1347,14.5,11758.84,-0.00973604
2020/2/19,11655.37,11783.43,11654.16,11758.84,11720.43,11717.31,11706.96,11473.92,12229.5,11755.13,11280.75,-3289,-1739,40974,0.73,0.7171,0.7559,-39.27,-48.48,9.2,1417.5,1306.5,1333.45,1353,6.11,11725.09,0.009430869
