time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2016/10/27,9363.9,9370.32,9286.86,9299.55,9329.14,9301.49,9130.58,8958.79,9383.1,9265.77,9148.45,2,-2972,15901,-80,42173,4,-1196,678.81,657.63,661.69,1310,4,9306.92,-0.006697108
2016/10/28,9307.39,9320.57,9276.71,9306.92,9320.39,9301.75,9136.23,8964.47,9386.25,9267.57,9148.89,-1,-2973,15902,-9,42164,-7,-1203,641.14,633.85,657.82,1304,-6,9290.12,0.000792511
2016/10/31,9283.2,9314.34,9194.48,9290.12,9303.77,9296.07,9140.63,8969.53,9383.31,9273.74,9164.16,0,-2973,15889,-28,42136,-3,-1206,599.27,637.99,656.2,1304,0,9272.7,-0.001805108
2016/11/1,9272.3,9289.12,9236.82,9272.7,9291.76,9290.92,9144.8,8974.46,9383.73,9275.66,9167.59,-4,-2977,15875,-25,42111,-2,-1208,493.84,605.3,641.44,1304,0,9139.04,-0.00187511
2016/11/2,9230.23,9230.23,9139.04,9139.04,9256.05,9271.6,9146.11,8977.94,9391.36,9268.22,9145.09,-3,-2980,15845,-52,42059,-2,-1210,642.5,611.11,631.8,1290,-14,9067.27,-0.014414356
2016/11/3,9126.29,9154.19,9067.27,9067.27,9205.29,9241.08,9144.72,8980.01,9409.02,9257.97,9106.93,-13,-2993,15824,-39,42020,-5,-1215,675.42,610.44,634.03,1280,-10,9068.15,-0.007853122
2016/11/4,9065.11,9098.88,9048.21,9068.15,9160.22,9209.99,9142.27,8981.5,9418.67,9247.17,9075.66,-1,-2994,15799,-47,41973,3,-1212,531.5,588.51,611.18,1277,-3,9189.84,9.70524E-05
2016/11/7,9102.97,9191.67,9102.97,9189.84,9155.77,9198.51,9142.42,8984.24,9416.41,9243.37,9070.32,5,-2989,15796,-38,41935,10,-1202,564.53,581.56,609.77,1274,-3,9217.43,0.013419496
2016/11/8,9214.95,9230.2,9165,9217.43,9172.81,9200.04,9144.53,8987.92,9416.36,9243.25,9070.13,2,-2987,15827,22,41957,-2,-1204,578.1,598.41,601.86,1269,-5,8943.2,0.003002229
2016/11/9,9252.27,9296.86,8926.6,8943.2,9150.12,9182.71,9143.23,8989.85,9444.57,9227.78,9010.98,-3,-2990,15725,-144,41813,-27,-1231,1197.47,709.4,660.26,1248,-21,9152.18,-0.029751243
2016/11/10,9070.64,9179.18,9070.64,9152.18,9139.47,9170.97,9142.41,8991.97,9443.71,9224.43,9005.15,6,-2984,15778,-4,41809,29,-1202,895.74,753.47,681.95,1250,2,8957.76,0.023367475
2016/11/11,9067.65,9067.65,8949.38,8957.76,9096.51,9141.82,9138.09,8992.28,9461.39,9214.06,8966.73,-4,-2988,15644,-240,41569,10,-1192,1140.83,875.33,731.92,1254,4,8940.4,-0.021243026
2016/11/14,8955.27,8991.94,8879.69,8940.4,9044.95,9105.45,9131.65,8991.44,9476.69,9202.27,8927.84,-3,-2991,15610,-148,41421,13,-1179,984.53,959.33,770.45,1257,3,8931.03,-0.001937984
2016/11/15,8927.92,8981.05,8923.36,8931.03,9010.25,9075.52,9125.4,8990.61,9486.17,9187.69,8889.21,5,-2986,15560,-125,41296,-2,-1181,803.81,1004.47,801.44,1263,6,8962.22,-0.001048052
2016/11/16,8955.76,9032.31,8955.76,8962.22,8999,9057.52,9120.51,8990.37,9482.03,9171.6,8861.17,2,-2984,15537,-83,41213,4,-1177,783.12,921.61,815.5,1265,2,8995.26,0.003492318
2016/11/17,8984.57,8998.23,8936.3,8995.26,8992.2,9043.17,9115.86,8990.18,9467.44,9155.5,8843.56,2,-2982,15519,-41,41172,-6,-1183,644.81,871.42,812.44,1266,1,9008.79,0.003686587
