time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2019/10/28,11321.99,11341.03,11295.44,11315.02,11278.81,11215.18,10894.62,10758.51,11405.39,11078.25,10751.11,-3.71货,-3174货,15518货,69.4货,40322货,15.1货,-1628货,1175.62,1319.23,1318.54,1410货,2.54货
2019/10/29,11347.39,11373.95,11292.83,11333.87,11298.21,11237.33,10909.12,10768.07,11432.17,11101.34,10770.51,-5.10货,-3179货,15527货,64.1货,40387货,-17.2货,-1645货,1467.44,1357.83,1327.68,1407货,-2.66货
2019/10/30,11336.97,11380.28,11306.95,11380.28,11315.85,11258.02,10923.62,10777.71,11456.31,11128.87,10801.43,1.92货,-3177货,15547货,70.0货,40457货,-15.5货,-1660货,1251.57,1326.49,1304.79,1414货,7.30货
2019/10/31,11393.68,11428.42,11358.71,11358.71,11338.86,11281.09,10938.74,10787.74,11481.67,11148.42,10815.18,720窾,-3177货,15574货,69.9货,40526货,-16.3货,-1676货,1560.79,1351.97,1337.18,1407货,-6.79货
2019/11/1,11373.7,11399.53,11335.51,11399.53,11351.59,11298.54,10953.11,10797.48,11508.03,11171.01,10833.99,-3.39货,-3180货,15623货,82.8货,40609货,14.2货,-1662货,1374.56,1366,1328.26,1412货,4.29货
2019/11/4,11451.72,11559.07,11451.72,11556.85,11402.68,11336.05,10971.2,10809.18,11553.34,11205.05,10856.77,7.85货,-3173货,15767货,144货,40754货,35.1货,-1627货,1584.95,1447.86,1383.55,1414货,2.27货
2019/11/5,11576.18,11644.03,11576.18,11644.03,11471.82,11385.88,10992.15,10822.41,11609.87,11242.53,10875.2,8074窾,-3172货,15891货,132货,40885货,37.6货,-1590货,1562.19,1466.81,1412.32,1409货,-4.99货
2019/11/6,11645.08,11668.2,11601.7,11653.07,11528.55,11432.45,11013.45,10835.96,11658.67,11278.43,10898.2,-6.26货,-3178货,15921货,65.3货,40951货,-3.82货,-1593货,1611.59,1538.82,1432.66,1414货,4.69货
2019/11/7,11642.91,11647.47,11552.08,11606.56,11556.45,11465.14,11033.09,10848.79,11693.91,11307.89,10921.88,-1.76货,-3180货,15917货,49.8货,41000货,-8.02货,-1601货,1416.48,1509.96,1430.96,1413货,-6398窾
2019/11/8,11620.89,11642.41,11561.31,11579.54,11571.31,11489.85,11051.71,10861.23,11694.61,11342.37,10990.13,4.39货,-3175货,15923货,15.2货,41016货,4.35货,-1597货,1415.93,1518.23,1442.11,1417货,4.39货
2019/11/11,11570.33,11570.33,11409.83,11427.28,11545.69,11490.68,11066.22,10871.69,11690.61,11360.39,11030.17,-4.23货,-3180货,15916货,38.5货,41054货,-20.9货,-1618货,1539.1,1509.06,1478.46,1406货,-11.0货
2019/11/12,11463.33,11520.37,11459.68,11520.37,11527.44,11490.73,11080.15,10881.93,11697.26,11380.82,11064.38,-1.50货,-3181货,15936货,46.9货,41101货,3.26货,-1615货,1195.63,1435.75,1451.28,1411货,4.57货
2019/11/13,11483.24,11509.37,11439.09,11467.83,11509.92,11487.85,11093.09,10891.73,11698.09,11396.07,11094.05,-3.29货,-3184货,15874货,-62.6货,41038货,12.6货,-1602货,1166.77,1346.78,1442.8,1418货,7.01货
2019/11/14,11488.74,11498.25,11424.77,11450.42,11495.13,11483.79,11105.3,10901.21,11696.23,11409.25,11122.26,3.49货,-3181货,15918货,42.4货,41081货,-7.50货,-1610货,1322.13,1327.91,1418.93,1408货,-9.50货
2019/11/15,11485.46,11552.25,11485.46,11525.6,11500.82,11488.96,11118.64,10911.31,11697.41,11426.51,11155.62,2.93货,-3178货,15964货,42.6货,41123货,4.28货,-1605货,1319.45,1308.62,1413.42,1405货,-3.58货
2019/11/18,11543.8,11599.78,11532.97,11599.78,11523.57,11503.53,11133.41,10922.18,11704.03,11447.3,11190.56,12.0货,-3166货,15994货,29.4货,41153货,-1.10货,-1606货,1098.66,1220.53,1364.79,1405货,-3531窾
2019/11/19,11608.48,11656.4,11576.79,11656.4,11557.22,11525.52,11149.51,10933.79,11725.35,11466.55,11207.76,3.62货,-3162货,16077货,110货,41263货,9.14货,-1597货,1236.21,1228.65,1332.2,1400货,-4.54货
2019/11/20,11645.73,11649.07,11591.73,11631.2,11581.29,11544.42,11165.25,10945.29,11732.24,11486.13,11240.02,8104窾,-3162货,16040货,10.1货,41273货,-37.0货,-1634货,1182.74,1231.84,1289.31,1399货,-7683窾
2019/11/21,11573.84,11573.84,11478.43,11558.27,11569.56,11544.72,11177.74,10955.22,11733.69,11498.04,11262.38,4.98货,-3157货,15963货,-98.3货,41175货,-16.1货,-1650货,1218.73,1211.16,1269.54,1399货,-3930窾
2019/11/22,11556.75,11577.02,11534.15,11566.8,11565.93,11547.26,11190.23,10965.2,11729.73,11511.57,11293.42,-4.49货,-3161货,15969货,-1.49货,41173货,-4.41货,-1655货,1094.57,1166.18,1237.4,1399货,5454窾
